card_id,name,variant,set,set_symbol_url,card_number,rarity,artist,subtype,national_dex_numbers,supertype,release_date,price_source,purchase_url,image_url,tcgplayer_updated_at,cardmarket_updated_at,tcgplayer_market,tcgplayer_low,tcgplayer_mid,tcgplayer_high,tcgplayer_holofoil_market,tcgplayer_reverse_holofoil_market,tcgplayer_1st_edition_normal_market,tcgplayer_1st_edition_holofoil_market,other_tcgplayer_variants_json,cardmarket_average_sell_price_usd,cardmarket_low_price_usd,cardmarket_trend_price_usd,cardmarket_reverse_holo_sell_usd,cardmarket_avg1_usd,cardmarket_avg7_usd,cardmarket_avg30_usd,cardmarket_reverse_holo_avg1_usd,cardmarket_reverse_holo_avg7_usd,cardmarket_reverse_holo_avg30_usd,eur_usd_rate_used,date
hgss4-1,Aggron,holofoil,HS—Triumphant,https://images.pokemontcg.io/hgss4/symbol.png,1,Rare Holo,Kagemaru Himeno,Stage 2,306,Pokémon,2010/11/03,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/hgss4-1,https://images.pokemontcg.io/hgss4/1_hires.png,2026/09/02,2026/07/01,9.8,6.14,9.78,109.71,,19.41,,,,3.0945,0.51,4.2188,3.9058,3.7668,3.2104,3.0598,2.1905,4.1608,3.9522,1.159,2026-09-02
xy5-1,Weedle,normal,Primal Clash,https://images.pokemontcg.io/xy5/symbol.png,1,Common,Midori Harada,Basic,13,Pokémon,2015/02/04,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/xy5-1,https://images.pokemontcg.io/xy5/1_hires.png,2026/09/02,2026/07/01,0.19,0.03,0.22,19.98,,0.61,,,,0.1739,0.0232,0.1391,0.5331,0.058,0.1507,0.1623,0.8345,0.6259,0.6722,1.159,2026-09-02
pl1-1,Ampharos,holofoil,Platinum,https://images.pokemontcg.io/pl1/symbol.png,1,Rare Holo,Atsuko Nishida,Stage 2,181,Pokémon,2009/02/11,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl1-1,https://images.pokemontcg.io/pl1/1_hires.png,2026/09/02,2026/07/01,32.51,23.0,32.16,389.5,,24.32,,,,5.7486,1.1474,6.699,10.431,4.636,5.4821,5.3314,15.0554,8.6925,6.8265,1.159,2026-09-02
dp3-1,Ampharos,holofoil,Secret Wonders,https://images.pokemontcg.io/dp3/symbol.png,1,Rare Holo,Kouki Saitou,Stage 2,181,Pokémon,2007/11/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dp3-1,https://images.pokemontcg.io/dp3/1_hires.png,2026/09/02,2026/07/01,42.56,29.98,39.49,235.94,,27.06,,,,4.6244,0.2898,7.0235,4.7055,5.2155,2.7005,4.7403,1.7385,4.0217,4.7055,1.159,2026-09-02
det1-1,Bulbasaur,holofoil,Detective Pikachu,https://images.pokemontcg.io/det1/symbol.png,1,Common,MPC Film,Basic,1,Pokémon,2019/04/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/det1-1,https://images.pokemontcg.io/det1/1_hires.png,2026/09/02,2026/07/01,1.35,0.2,1.05,36.49,,,,,,0.904,0.0232,0.7302,0.0,0.2434,0.6954,0.8924,2.3064,1.3328,0.9388,1.159,2026-09-02
dv1-1,Dratini,holofoil,Dragon Vault,https://images.pokemontcg.io/dv1/symbol.png,1,Rare Holo,Masakazu Fukuda,Basic,147,Pokémon,2012/10/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dv1-1,https://images.pokemontcg.io/dv1/1_hires.png,2026/09/02,2026/07/01,4.48,2.99,4.0,94.92,,,,,,1.808,0.1739,6.4904,3.477,46.36,9.1909,3.5349,3.477,3.0829,2.1442,1.159,2026-09-02
mcd19-1,Caterpie,holofoil,McDonald's Collection 2019,https://images.pokemontcg.io/mcd19/symbol.png,1,,Sekio,Basic,10,Pokémon,2019/10/15,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/mcd19-1,https://images.pokemontcg.io/mcd19/1_hires.png,2026/09/02,2026/07/01,14.7,10.99,12.0,581.88,,,,,,2.8048,0.4636,2.4803,0.0,4.636,2.9902,2.6425,0.5795,1.9819,1.5878,1.159,2026-09-02
pl3-1,Absol G,holofoil,Supreme Victors,https://images.pokemontcg.io/pl3/symbol.png,1,Rare Holo,Yusuke Ishikawa,Basic|SP,359,Pokémon,2009/08/19,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl3-1,https://images.pokemontcg.io/pl3/1_hires.png,2026/09/02,2026/07/01,34.72,21.34,28.0,301.98,,46.32,,,,7.9855,1.1474,9.8283,7.7653,4.636,6.1543,8.5534,4.6244,8.7389,12.1695,1.159,2026-09-02
ex12-1,Aerodactyl,holofoil,Legend Maker,https://images.pokemontcg.io/ex12/symbol.png,1,Rare Holo,Hajime Kusajima,Stage 1,142,Pokémon,2006/02/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex12-1,https://images.pokemontcg.io/ex12/1_hires.png,2026/09/02,2026/07/01,79.6,79.0,102.96,311.2,,125.0,,,,28.9518,5.795,40.5418,36.3926,4.6244,16.7707,91.8855,11.0105,29.0561,34.4802,1.159,2026-09-02
ex3-1,Absol,holofoil,Dragon,https://images.pokemontcg.io/ex3/symbol.png,1,Rare Holo,Naoyo Kimura,Basic,359,Pokémon,2003/11/24,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex3-1,https://images.pokemontcg.io/ex3/1_hires.png,2026/09/02,2026/07/01,164.66,289.0,300.0,2349.9,,101.41,,,,46.163,2.318,48.5737,38.8265,81.0721,46.163,43.0221,37.088,30.2963,21.5342,1.159,2026-09-02
ru1-1,Venusaur,holofoil,Pokémon Rumble,https://images.pokemontcg.io/ru1/symbol.png,1,,Pokemon Rumble,Stage 2,3,Pokémon,2009/12/02,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ru1-1,https://images.pokemontcg.io/ru1/1_hires.png,2026/09/02,2026/07/01,279.91,130.0,254.76,279.89,,,,,,137.8399,68.381,142.302,0.0,52.155,142.0934,95.8029,26.4716,12.8533,6.247,1.159,2026-09-02
ecard2-H1,Ampharos,,Aquapolis,https://images.pokemontcg.io/ecard2/symbol.png,H1,Rare Holo,Shin-ichi Yoshida,Stage 2,181,Pokémon,2003/01/15,cardmarket,https://prices.pokemontcg.io/cardmarket/ecard2-H1,https://images.pokemontcg.io/ecard2/H1_hires.png,,2026/07/01,,,,,,,,,,208.5505,11.59,179.448,0.0,1041.941,214.3455,110.7772,46.3484,21.0127,20.9779,1.159,2026-09-02
base4-1,Alakazam,holofoil,Base Set 2,https://images.pokemontcg.io/base4/symbol.png,1,Rare Holo,Ken Sugimori,Stage 2,65,Pokémon,2000/02/24,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/base4-1,https://images.pokemontcg.io/base4/1_hires.png,2026/09/02,2026/07/01,55.75,30.0,42.14,199.98,,,,,,48.2144,15.0554,40.5186,0.0,45.201,38.2354,41.4227,23.1221,26.4368,24.6867,1.159,2026-09-02
hgss1-1,Arcanine,holofoil,HeartGold & SoulSilver,https://images.pokemontcg.io/hgss1/symbol.png,1,Rare Holo,Naoki Saito,Stage 1,59,Pokémon,2010/02/10,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/hgss1-1,https://images.pokemontcg.io/hgss1/1_hires.png,2026/09/02,2026/07/01,75.84,35.0,97.41,552.0,,34.83,,,,11.393,1.7617,13.2706,17.8718,9.8863,12.9344,12.8301,34.7584,17.8718,14.2441,1.159,2026-09-02
ex11-1,Beedrill δ,holofoil,Delta Species,https://images.pokemontcg.io/ex11/symbol.png,1,Rare Holo,Masakazu Fukuda,Stage 2,15,Pokémon,2005/10/31,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex11-1,https://images.pokemontcg.io/ex11/1_hires.png,2026/09/02,2026/07/01,47.06,49.2,75.21,96.72,,81.47,,,,19.3785,3.477,19.2742,21.3372,28.975,19.9232,16.1565,1.7385,21.9283,18.1152,1.159,2026-09-02
ex7-1,Azumarill,normal,Team Rocket Returns,https://images.pokemontcg.io/ex7/symbol.png,1,Rare Holo,Sumiyoshi Kizuki,Stage 1,184,Pokémon,2004/11/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex7-1,https://images.pokemontcg.io/ex7/1_hires.png,2026/09/02,2026/07/01,7.2,29.99,40.0,50.0,49.26,85.65,,,,199.7421,3.477,205.1314,25.0692,16.7476,244.3983,76.691,11.59,36.7403,30.5397,1.159,2026-09-02
gym1-1,Blaine's Moltres,1stEditionHolofoil,Gym Heroes,https://images.pokemontcg.io/gym1/symbol.png,1,Rare Holo,Ken Sugimori,Basic,146,Pokémon,2000/08/14,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/gym1-1,https://images.pokemontcg.io/gym1/1_hires.png,2026/09/02,2026/07/01,243.32,475.0,1250.0,1539.99,,,,,"{""unlimitedHolofoil"": {""low"": 89.45, ""mid"": 148.75, ""high"": 879.32, ""market"": 136.7, ""directLow"": null}}",113.1648,20.7461,111.971,0.0,92.7084,104.7041,111.0438,34.7584,53.6733,45.4907,1.159,2026-09-02
base3-1,Aerodactyl,1stEditionHolofoil,Fossil,https://images.pokemontcg.io/base3/symbol.png,1,Rare Holo,Kagemaru Himeno,Stage 1,142,Pokémon,1999/10/10,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/base3-1,https://images.pokemontcg.io/base3/1_hires.png,2026/09/02,2026/07/01,90.19,76.24,114.98,1248.1,,,,,"{""unlimitedHolofoil"": {""low"": 25.5, ""mid"": 31.5, ""high"": 405.56, ""market"": 41.0, ""directLow"": 40.39}}",36.636,5.795,51.1235,0.0,11.5784,31.0033,27.1438,23.0641,18.0804,21.7081,1.159,2026-09-02
sm9-1,Celebi & Venusaur-GX,holofoil,Team Up,https://images.pokemontcg.io/sm9/symbol.png,1,Rare Holo GX,Mitsuhiro Arita,Basic|TAG TEAM|GX,3|251,Pokémon,2019/02/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/sm9-1,https://images.pokemontcg.io/sm9/1_hires.png,2026/09/02,2026/07/01,51.44,42.49,61.73,462.96,,,,,,45.9659,9.1445,50.8106,0.0,52.155,52.4447,43.7754,7.4871,7.406,8.5302,1.159,2026-09-02
xy2-1,Caterpie,normal,Flashfire,https://images.pokemontcg.io/xy2/symbol.png,1,Common,Sumiyoshi Kizuki,Basic,10,Pokémon,2014/05/07,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/xy2-1,https://images.pokemontcg.io/xy2/1_hires.png,2026/09/02,2026/07/01,0.24,0.05,0.24,19.99,,0.68,,,,0.1507,0.0232,0.1043,0.5795,0.0927,0.1623,0.1739,0.6259,0.5331,1.1474,1.159,2026-09-02
pop6-1,Bastiodon,normal,POP Series 6,https://images.pokemontcg.io/pop6/symbol.png,1,Rare,Kazuyuki Kano,Stage 2,411,Pokémon,2007/09/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pop6-1,https://images.pokemontcg.io/pop6/1_hires.png,2026/09/02,2026/07/01,6.46,2.49,9.29,58.36,,,,,,2.121,1.1358,2.0398,0.0,3.4654,2.2253,1.6921,0.0,0.0,0.0,1.159,2026-09-02
ecard2-H2,Arcanine,,Aquapolis,https://images.pokemontcg.io/ecard2/symbol.png,H2,Rare Holo,Kyoko Umemoto,Stage 1,59,Pokémon,2003/01/15,cardmarket,https://prices.pokemontcg.io/cardmarket/ecard2-H2,https://images.pokemontcg.io/ecard2/H2_hires.png,,2026/07/01,,,,,,,,,,152.6751,33.611,266.5584,0.0,695.4,240.8634,237.3632,11.59,65.5183,42.9178,1.159,2026-09-02
hgss4-2,Altaria,holofoil,HS—Triumphant,https://images.pokemontcg.io/hgss4/symbol.png,2,Rare Holo,Ryo Ueda,Stage 1,334,Pokémon,2010/11/03,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/hgss4-2,https://images.pokemontcg.io/hgss4/2_hires.png,2026/09/02,2026/07/01,11.7,7.27,15.87,137.3,,12.57,,,,3.9522,1.0315,4.3926,4.4158,2.318,4.3926,4.7751,10.1992,4.4158,4.1144,1.159,2026-09-02
pl1-2,Blastoise,holofoil,Platinum,https://images.pokemontcg.io/pl1/symbol.png,2,Rare Holo,Kagemaru Himeno,Stage 2,9,Pokémon,2009/02/11,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl1-2,https://images.pokemontcg.io/pl1/2_hires.png,2026/09/02,2026/07/01,58.59,37.5,57.49,550.0,,35.0,,,,14.1862,2.1442,8.8548,12.5636,5.795,7.8928,11.59,4.636,12.2738,10.883,1.159,2026-09-02
ex3-2,Altaria,holofoil,Dragon,https://images.pokemontcg.io/ex3/symbol.png,2,Rare Holo,Atsuko Nishida,Stage 1,334,Pokémon,2003/11/24,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex3-2,https://images.pokemontcg.io/ex3/2_hires.png,2026/09/02,2026/07/01,61.05,52.0,99.49,584.0,,28.06,,,,22.2064,2.8975,19.9696,19.703,20.8504,21.8819,22.4267,28.975,13.2821,12.1811,1.159,2026-09-02
dp3-2,Blastoise,holofoil,Secret Wonders,https://images.pokemontcg.io/dp3/symbol.png,2,Rare Holo,Daisuke Ito,Stage 2,9,Pokémon,2007/11/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dp3-2,https://images.pokemontcg.io/dp3/2_hires.png,2026/09/02,2026/07/01,99.5,56.56,82.5,789.78,,100.19,,,,14.6382,1.159,11.1728,9.6545,11.532,12.042,15.067,10.431,9.9326,8.7041,1.159,2026-09-02
