card_id,name,variant,set,set_symbol_url,card_number,rarity,artist,subtype,national_dex_numbers,supertype,release_date,price_source,purchase_url,image_url,tcgplayer_updated_at,cardmarket_updated_at,tcgplayer_market,tcgplayer_low,tcgplayer_mid,tcgplayer_high,tcgplayer_holofoil_market,tcgplayer_reverse_holofoil_market,tcgplayer_1st_edition_normal_market,tcgplayer_1st_edition_holofoil_market,other_tcgplayer_variants_json,cardmarket_average_sell_price_usd,cardmarket_low_price_usd,cardmarket_trend_price_usd,cardmarket_reverse_holo_sell_usd,cardmarket_avg1_usd,cardmarket_avg7_usd,cardmarket_avg30_usd,cardmarket_reverse_holo_avg1_usd,cardmarket_reverse_holo_avg7_usd,cardmarket_reverse_holo_avg30_usd,eur_usd_rate_used,date
hgss4-1,Aggron,holofoil,HS—Triumphant,https://images.pokemontcg.io/hgss4/symbol.png,1,Rare Holo,Kagemaru Himeno,Stage 2,306,Pokémon,2010/11/03,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/hgss4-1,https://images.pokemontcg.io/hgss4/1_hires.png,2026/09/17,2026/07/01,10.11,6.0,9.75,109.71,,19.41,,,,3.0804,0.5076,4.1995,3.888,3.7495,3.1957,3.0458,2.1805,4.1418,3.9341,1.1537,2026-09-17
xy5-1,Weedle,normal,Primal Clash,https://images.pokemontcg.io/xy5/symbol.png,1,Common,Midori Harada,Basic,13,Pokémon,2015/02/04,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/xy5-1,https://images.pokemontcg.io/xy5/1_hires.png,2026/09/17,2026/07/01,0.21,0.03,0.23,19.98,,0.62,,,,0.1731,0.0231,0.1384,0.5307,0.0577,0.15,0.1615,0.8307,0.623,0.6691,1.1537,2026-09-17
pl1-1,Ampharos,holofoil,Platinum,https://images.pokemontcg.io/pl1/symbol.png,1,Rare Holo,Atsuko Nishida,Stage 2,181,Pokémon,2009/02/11,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl1-1,https://images.pokemontcg.io/pl1/1_hires.png,2026/09/17,2026/07/01,34.16,22.0,32.94,389.5,,24.32,,,,5.7224,1.1422,6.6684,10.3833,4.6148,5.457,5.307,14.9866,8.6527,6.7953,1.1537,2026-09-17
dp3-1,Ampharos,holofoil,Secret Wonders,https://images.pokemontcg.io/dp3/symbol.png,1,Rare Holo,Kouki Saitou,Stage 2,181,Pokémon,2007/11/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dp3-1,https://images.pokemontcg.io/dp3/1_hires.png,2026/09/17,2026/07/01,43.55,29.98,39.74,235.5,,27.06,,,,4.6033,0.2884,6.9914,4.684,5.1917,2.6881,4.7186,1.7306,4.0033,4.684,1.1537,2026-09-17
det1-1,Bulbasaur,holofoil,Detective Pikachu,https://images.pokemontcg.io/det1/symbol.png,1,Common,MPC Film,Basic,1,Pokémon,2019/04/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/det1-1,https://images.pokemontcg.io/det1/1_hires.png,2026/09/17,2026/07/01,1.14,0.2,1.01,36.05,,,,,,0.8999,0.0231,0.7268,0.0,0.2423,0.6922,0.8883,2.2959,1.3268,0.9345,1.1537,2026-09-17
dv1-1,Dratini,holofoil,Dragon Vault,https://images.pokemontcg.io/dv1/symbol.png,1,Rare Holo,Masakazu Fukuda,Basic,147,Pokémon,2012/10/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dv1-1,https://images.pokemontcg.io/dv1/1_hires.png,2026/09/17,2026/07/01,4.35,2.75,4.0,94.92,,,,,,1.7998,0.1731,6.4607,3.4611,46.148,9.1488,3.5188,3.4611,3.0688,2.1343,1.1537,2026-09-17
mcd19-1,Caterpie,holofoil,McDonald's Collection 2019,https://images.pokemontcg.io/mcd19/symbol.png,1,,Sekio,Basic,10,Pokémon,2019/10/15,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/mcd19-1,https://images.pokemontcg.io/mcd19/1_hires.png,2026/09/17,2026/07/01,15.06,5.0,11.5,4321.0,,,,,,2.792,0.4615,2.4689,0.0,4.6148,2.9765,2.6304,0.5768,1.9728,1.5806,1.1537,2026-09-17
pl3-1,Absol G,holofoil,Supreme Victors,https://images.pokemontcg.io/pl3/symbol.png,1,Rare Holo,Yusuke Ishikawa,Basic|SP,359,Pokémon,2009/08/19,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl3-1,https://images.pokemontcg.io/pl3/1_hires.png,2026/09/17,2026/07/01,38.39,20.75,28.0,211.39,,54.65,,,,7.949,1.1422,9.7834,7.7298,4.6148,6.1261,8.5143,4.6033,8.6989,12.1138,1.1537,2026-09-17
ex12-1,Aerodactyl,holofoil,Legend Maker,https://images.pokemontcg.io/ex12/symbol.png,1,Rare Holo,Hajime Kusajima,Stage 1,142,Pokémon,2006/02/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex12-1,https://images.pokemontcg.io/ex12/1_hires.png,2026/09/17,2026/07/01,78.0,59.99,99.99,311.2,,125.0,,,,28.8194,5.7685,40.3564,36.2262,4.6033,16.694,91.4653,10.9601,28.9233,34.3226,1.1537,2026-09-17
ex3-1,Absol,holofoil,Dragon,https://images.pokemontcg.io/ex3/symbol.png,1,Rare Holo,Naoyo Kimura,Basic,359,Pokémon,2003/11/24,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex3-1,https://images.pokemontcg.io/ex3/1_hires.png,2026/09/17,2026/07/01,169.99,289.0,295.0,2349.9,,101.41,,,,45.9519,2.3074,48.3516,38.6489,80.7013,45.9519,42.8253,36.9184,30.1577,21.4357,1.1537,2026-09-17
